IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
13050000BW0216,1.6,1.35,0.42,0.649,20.66,1219,61,95.0,92.29,95.16
831000000D0681,2.2,1.25,0.513,0.498,2.71,317,147,53.63,6.94,63.09
841220000A0754,,,,,,,,,,
26348000AL0037,2.35,1.05,0.356,0.918,3.48,2365,626,73.53,71.16,71.29
261800000C0478,2.1,1.15,0.505,0.633,10.01,1471,164,88.85,82.39,90.01
071690000C1107,2.2,0.95,0.506,0.54,2.18,2211,1199,45.77,0.0,54.09
840020000A0769,2.35,1.45,0.594,0.46,4.77,4837,1555,67.85,30.04,79.04
84127000AX0175,2.0,1.25,0.381,0.892,4.37,761,173,77.27,74.51,77.14
840560000A0040,2.05,1.2,0.544,0.644,2.85,527,244,53.7,28.08,64.9
831080000D0147,2.5,1.6,0.505,0.441,2.9,4112,1814,55.89,0.0,65.52
84012000AD0365,2.2,1.1,0.497,0.619,2.36,1648,819,50.3,19.72,57.65
830460000F0745,2.5,1.85,0.407,0.395,19.53,293,15,94.88,87.03,94.88
84008000AO0076,2.05,1.2,0.503,0.478,7.41,3869,642,83.41,65.31,86.51
840300000D0261,2.05,1.2,0.512,0.653,6.44,695,128,81.58,71.8,84.46
831240000K0291,2.4,1.85,0.559,0.458,4.12,734,240,67.3,28.61,75.75
830270000C0563,2.0,1.25,0.513,0.526,3.97,1170,362,69.06,41.2,74.79
841360000B0156,2.0,1.2,0.492,0.446,2.63,2723,1228,54.9,0.0,62.03
83112000CZ0076,2.0,1.25,0.533,0.582,3.5,2432,899,63.03,36.43,71.42
830850000C0015,1.9,1.15,0.482,0.473,2.39,5521,2649,52.02,0.0,58.14
84028000AY0104,1.45,1.1,0.351,0.736,14.47,1071,64,94.02,91.88,93.09
073430000A0054,2.05,1.15,0.518,0.529,2.39,1701,903,46.91,0.0,58.14
830430000D0244,2.5,1.35,0.398,0.548,2.1,1358,697,48.67,6.26,52.28
13110000BI0026,2.5,1.3,0.531,0.409,3.26,4346,1714,60.56,3.54,69.31
262750000B0141,1.95,0.95,0.486,0.56,1.97,1244,694,44.21,0.4,49.36
070150000C0997,2.0,1.15,0.517,0.562,2.36,958,505,47.29,6.26,57.62
