IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
831480000D0255,2.4,2.0,0.565,0.39,4.22,1936,292,84.92,61.36,76.29
840370000E0149,2.3,1.65,0.547,0.451,1.7,1009,401,60.26,11.89,41.23
84028000BC0187,2.2,1.4,0.379,0.69,1.7,1261,571,54.72,34.42,41.32
83149000AC0239,2.1,1.75,0.482,0.41,12.41,1390,59,95.76,89.64,91.94
830720000F1390,2.4,2.05,0.564,0.574,3.9,359,58,83.84,71.87,74.37
830270000B1703,2.1,1.95,0.579,0.591,2.09,2720,794,70.81,50.59,52.1
07264000AE0242,2.2,1.4,0.476,0.706,3.17,2650,581,78.08,68.94,68.49
840910000A1033,1.95,1.15,0.401,0.45,20.09,1748,76,95.65,90.33,95.02
840960000E0576,2.1,1.4,0.532,0.55,2.48,1509,474,68.59,42.88,59.64
840870000B0254,,,,,,,,,,
26348000AS0034,2.55,1.4,0.525,0.423,3.93,5548,1025,81.52,56.31,74.55
830580000G1513,2.35,2.05,0.592,0.416,1.87,924,294,68.18,23.48,46.65
841000000C0419,2.1,1.2,0.338,0.795,2.37,504,167,66.87,58.33,57.74
07174000AC0237,2.0,2.1,0.616,0.509,1.32,504,262,48.02,0.0,24.01
07345000ZD0216,2.0,1.95,0.601,0.499,2.46,1774,443,75.03,50.0,59.36
07264000AO0212,2.0,1.35,0.527,0.533,1.47,1022,560,45.21,0.0,32.09
262330000C0349,2.45,1.4,0.49,0.581,1.84,1380,579,58.04,27.83,45.51
830720000D0821,2.25,1.95,0.588,0.564,4.15,1605,207,87.1,77.13,75.89
07264000AY0092,2.5,1.4,0.5,0.526,3.43,466,110,76.39,55.15,70.82
830880000B0047,2.0,2.0,0.522,0.389,7.72,764,61,92.02,79.45,87.04
841380000B0077,2.35,1.4,0.376,0.669,2.42,1008,334,66.87,50.5,58.73
84137000AD0074,2.45,1.4,0.416,0.535,2.82,3433,943,72.53,48.62,64.55
84141000AZ0085,2.55,1.4,0.514,0.417,3.08,1063,247,76.76,44.21,67.54
840370000B0679,1.8,1.65,0.459,0.796,1.58,1616,779,51.79,39.42,36.82
83101000BC0056,1.85,1.9,0.552,0.423,1.55,1280,543,57.58,0.0,35.39
831000000E0601,2.0,2.05,0.606,0.488,1.31,1151,539,53.17,4.08,23.63
07264000AE0013,2.2,1.4,0.527,0.529,2.6,1813,534,70.55,44.35,61.5
071690000C0829,1.75,1.6,0.487,0.475,1.6,242,123,49.17,0.0,37.6
26054000AD0069,2.0,1.4,0.545,0.513,1.58,652,327,49.85,2.15,36.66
13014000CH0185,2.4,2.0,0.613,0.519,3.63,1936,280,85.54,72.11,72.42
84072000CL0011,2.4,1.65,0.569,0.476,1.67,553,229,58.59,13.02,39.96
83096000AI0077,2.05,2.1,0.594,0.414,1.57,566,230,59.36,1.94,36.4
841460000A0262,2.2,1.2,0.509,0.541,1.65,660,347,47.42,2.88,39.55
84028000AT0229,2.5,1.4,0.434,0.719,1.99,5416,1989,63.28,48.95,49.87
84106000AC0126,2.15,1.4,0.455,0.559,4.66,2193,356,83.77,70.95,78.52
071260000F0494,2.45,1.65,0.567,0.484,3.39,997,198,80.14,58.98,70.51
840490000E0656,1.45,1.35,0.163,0.5,64.25,514,4,99.22,98.44,98.44
830830000C0114,2.45,1.95,0.445,0.667,6.2,651,68,89.55,84.33,83.87
840370000A0730,2.45,1.65,0.197,0.357,4.62,37,5,86.49,62.16,78.38
840390000D0356,2.1,1.65,0.575,0.591,1.62,365,162,55.62,24.93,38.08
83116000AB0164,2.25,2.15,0.553,0.413,2.08,386,109,71.76,31.61,51.81
84046000AM0078,2.35,1.6,0.485,0.584,1.57,1038,532,48.75,12.24,36.42
831080000C0897,2.5,1.35,0.355,0.56,1.51,1776,992,44.14,0.28,33.95
07070000AL0052,2.4,1.95,0.581,0.438,3.91,595,95,84.03,63.53,74.45
841220000B1098,2.15,1.35,0.429,0.668,3.56,4092,822,79.91,69.94,71.9
840720000F0579,2.0,1.65,0.576,0.597,1.69,367,141,61.58,35.69,40.87
07152000AH0153,2.05,2.0,0.609,0.503,1.3,478,242,49.37,0.0,23.01
84018000AI0132,2.35,1.35,0.359,0.395,50.0,950,15,98.42,96.0,98.0
831250000D0088,2.5,2.15,0.494,0.681,1.5,1260,640,49.21,25.4,33.41
84082000AD0009,1.55,1.25,0.328,0.629,19.91,856,22,97.43,95.91,94.98
26377000AS0291,2.35,1.35,0.505,0.603,3.6,2867,540,81.16,68.75,72.2
26345000AH0005,2.4,1.4,0.531,0.444,4.11,66548,10933,83.57,63.01,75.65
830720000F0021,2.5,2.05,0.611,0.507,2.66,651,136,79.11,58.83,62.37
263570000B0145,2.3,1.4,0.372,0.772,1.5,353,190,46.18,30.31,33.43
83016000AH0193,2.2,2.05,0.618,0.481,1.44,2296,935,59.28,15.29,30.71
840910000D0174,,,,,,,,,,
840160000A1471,2.65,1.65,0.608,0.534,2.22,120,39,67.5,39.17,55.0
841090000C0326,2.35,1.65,0.408,0.351,8.66,277,27,90.25,72.2,88.45
84104000AO0197,1.95,1.15,0.369,0.548,18.57,1077,40,96.29,93.22,94.61
841110000C0184,2.3,1.4,0.468,0.612,7.47,1016,104,89.76,83.27,86.61
840830000B0008,2.3,1.4,0.342,0.749,1.44,2464,1358,44.89,26.38,30.36
13079000AZ0056,2.4,2.05,0.61,0.415,1.41,2799,1094,60.91,5.89,29.26
83136000AY0239,2.2,2.1,0.581,0.439,2.59,202,54,73.27,39.11,61.39
830350000B0718,1.95,1.75,0.556,0.476,1.45,732,352,51.91,0.0,30.87
830920000A0410,2.25,1.65,0.451,0.615,1.25,1593,1000,37.23,0.0,19.77
263410000A1037,1.85,1.45,0.4,0.625,1.49,152,95,37.5,0.0,32.89
840720000D0764,2.2,1.65,0.581,0.565,1.8,1416,493,65.18,38.42,44.49
840390000G1212,2.4,1.65,0.575,0.57,2.57,327,85,74.01,54.43,61.16
841110000A0275,2.35,1.4,0.525,0.458,2.28,5001,1574,68.53,31.25,56.07
26054000AO0133,2.2,1.4,0.416,0.729,1.68,1483,713,51.92,34.05,40.46
830180000E0683,2.5,2.1,0.537,0.541,1.76,3290,1319,59.91,25.84,43.1
840490000A0365,2.5,1.65,0.527,0.521,7.29,765,61,92.03,84.71,86.27
841330000G0558,2.3,1.35,0.533,0.459,2.08,3139,1178,62.47,18.22,51.86
841160000A0593,2.2,1.4,0.502,0.464,3.54,725,149,79.45,55.72,71.72
84149000AS0016,2.5,1.4,0.518,0.493,3.53,2985,567,81.01,61.51,71.69
830730000A0118,,,,,,,,,,
840890000I2445,2.45,1.35,0.524,0.513,2.14,1516,553,63.52,28.83,53.3
830320000E0959,2.5,2.05,0.474,0.603,1.72,620,293,52.74,21.61,41.77
831400000C0382,2.4,1.9,0.527,0.394,3.6,353,67,81.02,51.84,72.24
84053000ZI0007,2.3,1.4,0.528,0.505,2.29,3340,1022,69.4,39.37,56.41
830860000E2165,2.45,1.95,0.588,0.409,2.24,1649,437,73.5,35.17,55.37
840420000C0526,,,,,,,,,,
070990000F0849,2.1,1.65,0.428,0.677,1.74,965,428,55.65,34.51,42.49
840870000K0004,,,,,,,,,,
83050000AZ0592,2.1,1.95,0.552,0.374,7.95,6383,461,92.78,80.7,87.42
83098000BK0197,1.95,1.95,0.58,0.527,1.22,492,271,44.92,0.0,17.89
830180000C1165,2.15,2.1,0.505,0.316,12.31,3139,160,94.9,83.88,91.88
840720000I0803,2.45,1.65,0.524,0.509,1.79,733,296,59.62,20.74,44.07
07324000AX0212,1.3,1.15,0.377,0.541,1.25,1315,717,45.48,0.0,20.3
840720000B0364,2.15,1.45,0.555,0.558,1.96,755,280,62.91,33.51,49.01
83035000AB0251,,,,,,,,,,
840300000E1283,2.25,1.4,0.521,0.527,1.51,705,370,47.52,0.43,33.76
072450000D0460,2.05,2.1,0.601,0.438,1.87,273,103,62.27,13.92,46.52
84082000AH0068,2.2,1.65,0.477,0.5,7.19,266,29,89.1,78.2,86.09
840250000B0150,2.3,1.45,0.479,0.56,12.45,1370,70,94.89,90.88,91.97
072340000A0669,2.05,1.75,0.506,0.44,1.96,363,147,59.5,7.99,49.04
